rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
2328,Motor Carriage Svc,OR,independent,independent,"[""Shawn Spence (Owner)""]",unknown,,,1-4,"[""general transportation/trucking""]",[],"Per RocketReach (2026), Motor Carriage Service LLC is a small Beaverton, OR transportation/trucking entity with ~1 employee and ~$200K revenue; no school-district contracts surfaced.",,low,"Not a credible Summit tuck-in: micro-operator (<5 employees, ~$285K rev) with no evidence of school-bus or special-needs student transport contracts; appears to be a general motor-carrier sole proprietorship. Pass."
2332,Tammie's Helping Hands TRNSPTN,OR,family-owned,independent,"[""Tammie Mae Smith (Owner/Registrant)""]",unknown,2010,,1-4,"[""IDD/disability transportation"", ""NEMT-style special needs""]","[""Serves individuals with intellectual/developmental disabilities (IDD)""]","Registered as an Assumed Business Name with Oregon Secretary of State on 2010-09-01; principal Tammie Mae Smith, original address 620 Bridge St, Box 263, Lafayette OR 97127. Listed in Oregon IDD resource directory as a transportation provider serving the disability community.",,low,"Not a Summit tuck-in. Micro IDD/disability transport provider (~4 employees, ~$285K rev) supporting Oregon DD waiver clients — adjacent to special-needs school transport but not a school-bus contractor. Pass."
2337,Mas Transportation Corp,OH,independent,independent,Yohannes Abate (Owner),unknown,unknown,1-3,4,"[""NEMT - non-emergency medical transport""]",Hospitals/clinics/doctor offices; no school-district contracts identified,No M&A activity; holds Ohio Medical Transportation Board license #316295 and FMCSA #3632775,,medium,Confirmed NEMT (ambulance/medical) operator in Cincinnati - not a school bus contractor. Categorized as 'ambulance services' by BBB. Wrong service line for Summit; pass.
2341,Anytime Anywhere Trnsprtn,KS,independent,independent,"[""Carla J Shepherd (President)""]",unknown,2009,,1,"[""NEMT"", ""special-needs van"", ""disabled services""]",[],"Anytime Anywhere Transportation Services, Inc. incorporated in Kansas in 2009; NPI-registered (1336383462) as a Secured Medical Transport (Van) provider. Manta-style listings show ~$103K revenue and ~1 staff. No school district contracts surfaced.",,medium,"Not a fit. NEMT/Medicaid van provider, not a school-bus or SPED route contractor. USD 259 (Wichita Public Schools) is served by First Student/EverDriven. Skip."
2356,Medxpress,CA,independent,independent,[],unknown,,,4,"[""NEMT (non-emergency medical transport)"", ""van transport""]",[],"Medxpress LLC operates as a non-emergency medical transport (NEMT) van provider at 1642 N Texas St #D, Fairfield, CA. No school-district business, no school-bus fleet, and no M&A news identified.",,medium,"Not a fit. Medxpress is a Medicaid/NEMT van operator, not a student-transportation or special-needs school-route contractor. Different regulatory regime (DHCS/Medi-Cal) and customer base (healthcare payors, not districts). Should be filtered out of the Summit tuck-in universe."
2376,Sfax Limousine Svc LLC,MS,independent,independent,"[""Farhat Othmani (President/Principal)""]",unknown,2002,,4,"[""limousine"", ""sedan"", ""airport transport"", ""shuttle""]",[],No M&A activity found. FMCSA-registered since 2005; small Memphis-metro operator.,,medium,"Owner-operated limo/sedan/shuttle service in Southaven MS (~4 employees, ~$252K revenue). No confirmed school-bus contracts; out of scope for Summit tuck-in."
2381,Care2 Transportation Svc LLC,VA,independent,independent,"[""Adrian Brown""]",unknown,2018,unknown (likely <5 vans),4,"[""NEMT"", ""wheelchair van""]","[""medical facilities (NEMT)""]",NPI 1922574581 registered as Non-Emergency Medical Transport (Van); women/minority-owned; no school transportation activity or M&A news located.,,medium,"Not a fit. Confirmed Non-Emergency Medical Transportation (NEMT) wheelchair-van provider in Chesapeake, VA, not a school-bus contractor. Tiny (~4 employees). Outside Summit's K-12 student-transport tuck-in thesis."
2385,School Bus Trnsprtn Tyh Corp,FL,family-owned,independent,"Henry Beltran (Owner); likely affiliated with Air B School Bus Transportation, Inc. (same Beltran ownership, 7503 NW 7th St Miami)",unknown,2015,"0-1 (FMCSA SAFER shows 0 power units, 1 driver)",~3,"[""school-bus (nominal)"", ""intrastate-private-property per SAFER""]",None confirmed; Miami-Dade FL; FMCSA lists cargo as 'General Freight/Other' not passenger transport,"Active FL corp (DOT 2916187) but SAFER shows 0 power units; appears to be a dormant or affiliated shell of Air B School Bus Transportation Inc (Henry Beltran), the larger Miami operator",,medium,"NOT a viable standalone tuck-in. Sub-scale shell (0 power units per FMCSA). If pursued at all, Summit should target the affiliated Air B School Bus Transportation Inc (same Beltran principal) which is the actual operating Miami school-bus contractor."
2412,Corporate Cab Inc,FL,family-owned,independent,"[""C.C. Graham (President)""]",unknown,,,3,"[""taxi"", ""airport transportation""]",[],"Naples, FL taxi operator (2140 48th St SW / Aviation Dr office); 24/7 cab service to Fort Myers, Miami, Fort Lauderdale. President C.C. Graham (LinkedIn, U. Miami). No school-transport activity identified.",,medium,Not a fit. Independent taxi/airport-cab micro-business; not a K-12 yellow-bus contractor and below Summit's tuck-in profile.
2429,Surecare Transit LLC,FL,independent,independent,"[""Miquel World (Owner per source list)""]",unknown,,1,3,"[""non-emergency medical transport (NEMT, van)""]","[""NPI-registered NEMT van provider serving Lynn Haven / Panama City area (Bay County, FL)""]",No M&A or material news. NPI 1467714352 active; small van-based NEMT operator.,,low,"Not a fit. NEMT van micro-operator (NPI registered), not a school-bus contractor; sub-scale (3 employees, ~$187K revenue) and outside Summit's K-12 routed-yellow-bus core."
2432,E & S Limousines & Trnsp Co,FL,independent,independent,"[""Eddie Godfrey (Owner/CEO of related Eddie's Limousines & Transportation Inc, Lakeland FL)""]",unknown,2006,,3,"[""limousine / livery / charter transportation""]","[""Lakeland, FL (Polk County) area; no school district contracts identified.""]",No M&A or material news. Related entity Eddie's Limousines and Transportation Inc registered in FL since 2006; LinkedIn lists Eddie Godfrey as CEO/owner.,https://fast-eddies-limo-bus.hub.biz/,low,"Not a fit. Limousine/livery operator, not a yellow-bus / SPED school-transport contractor; sub-scale (3 employees, ~$185K revenue) and outside Summit's K-12 acquisition thesis."
2440,Dineste Transportation Group,DE,independent,independent,unknown,unknown,2022,1-2 vehicles,3,"[""non-emergency medical transportation (likely)"", ""support activities for transportation""]",unknown; appears in DE medical transportation listings near Smyrna/Clayton,Incorporated January 2022 in Delaware (LLC #2020703994); D&B-reported revenue ~$70K. No news.,dineste.com (website timed out on fetch; presence unverified),low,"Not a fit. New 2022-formed micro-LLC (~3 employees, ~$70K-$161K rev) operating out of a residential address; likely solo NEMT/livery operator, not a school-bus contractor. Below Summit tuck-in threshold. Skip."
2442,Main Trans Mobility Solutions,MO,independent,independent,unknown,unknown,unknown,1-3 vehicles (ambulance + wheelchair vans),3,"[""non-emergency medical transportation"", ""wheelchair transport"", ""ambulance""]",unknown; serves greater Springfield MO area (Battlefield/Greene County),"Operates as 'Maintrans Mobility Solutions LLC' at 4840 S. Gold Road, Battlefield MO 65619, providing ambulance and wheelchair transportation; BBB A+ rated. No M&A activity.",,low,"Not a fit. NEMT/ambulance micro-operator (~3 employees, ~$161K rev), not a school-bus or SPED student-transport contractor. Adjacent vertical (medical transport) and sub-scale. Skip for Summit tuck-in pipeline."
2450,School Dayz Transportation,NJ,family-owned,independent,"[""Elizabeth Frenkel (Special Ed Bus Aide; possible family operator)""]",unknown,,<10 buses,6,"[""school"", ""special-needs""]","[""likely Old Bridge / East Brunswick / Sayreville area (Middlesex County, NJ)""]","Small Parlin, NJ school-bus contractor with Facebook page and Yellow Pages listing; staff include Elizabeth Frenkel as SPED school-bus aide.",https://m.facebook.com/profile.php?id=153394594868486,medium,"Marginal fit. Very small Middlesex County, NJ SPED/school operator; sub-scale for Summit but could be a bolt-on if Summit has an existing NJ hub absorbing routes/drivers."
2453,Edison Transportation,OR,independent,independent,"[""Edwin Madison""]",unknown,,6,5,"[""private school"", ""charter"", ""field trips"", ""airport""]","[""private schools (Portland metro)"", ""charter clients""]","FMCSA SAFER lists 6 power units, 5 drivers, intrastate-only passenger carrier, active with zero crashes/inspections in last 24 months.",https://www.edisontransportation.org/,low,Very small Portland-area passenger/charter operator serving private schools and field trips; sub-scale (6 vehicles). Not a yellow-bus contractor — limited tuck-in fit; possible micro-acqui-hire only.
2458,Ivan Mobility Trnsprtn LLC,NY,independent,independent,"[""Ivan Haddock Jr (Manager)""]",unknown,2021,1-3,8,"[""non-emergency medical transport"", ""wheelchair/paratransit (likely)""]",Unknown; appears NEMT/wheelchair micro-operator in NYC (Bronx); no confirmed school district contracts,No notable M&A or news identified (2021-2026). Listed on Yelp as a NYC medical transportation provider; very small footprint.,,low,"Sub-scale micro-operator (~8 employees, ~$455k revenue) in NEMT/wheelchair niche rather than yellow-bus school routes. Not a meaningful tuck-in for Summit; pass unless tied to a contracted SPED route portfolio (no evidence of that)."
2459,We Care Wheelchair Transport,FL,family-owned,independent,"[""Deborah A. Evers (Owner/Manager) - 'Debbie'""]",unknown,2019,1-2,4,"[""wheelchair/non-emergency medical transport"", ""disability transport""]",Individual disabled/elderly riders in DeLand FL and surrounding Volusia County; no confirmed school district contracts,No M&A activity. Operates 7 days/wk 9-5; positive local reviews praising owner Debbie for same-day rides.,https://www.facebook.com/wecarewheelchairtransportservice/,medium,"Owner-operator NEMT/wheelchair service, not a yellow-bus or SPED contractor. ~$265k revenue, ~4 employees - far below Summit tuck-in scale. Pass."
2460,Butler Wheelchair Transport,FL,family-owned,independent,"[""Angela Butler (VP / Registered Agent)""]",unknown,2019,1-3,4,"[""wheelchair/non-emergency medical transport"", ""ambulatory"", ""medical appointment transport""]","Medical appointments, dialysis, PT, airport, shopping in Sarasota/Manatee County FL; no school district customers identified",No M&A activity. FL Sunbiz lists as active profit corp (P19000021725); Sarasota-based per website.,https://butler6.com/,medium,"NEMT/wheelchair micro-operator, not a school-bus or contracted SPED provider. ~$257k revenue, ~4 employees. Out of scope for Summit tuck-in. Pass."
2461,Top Limo Svc,WA,independent,independent,[],unknown,,"unknown (sedans, SUVs, limo buses, Sprinters)",2,"[""limousine/black car"", ""airport transfer"", ""wedding/prom/event charter"", ""field trips (mentioned)""]",Private/event clientele in Seattle/SeaTac WA; no school district contracts identified,No notable news; small luxury limo operator near SEA airport.,http://www.topluxurylimo.com/,medium,"Luxury limo/black-car charter service, not a yellow-bus or special-needs school transport contractor. Field trips mentioned but core business is events/airport. Not a Summit tuck-in. Pass."
