a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
,799,BENCH,Ramirez School Bus Svc,TX,"Houston, TX",63.0,0.6,3,2,1993,census(medium),519376,I,,unknown,unknown,Irene S Ramirez (Owner per source list),unknown,"[""school""]",Unverified; 3827 Ripplebrook Dr is a residential Houston address,"No FMCSA SAFER match for 'RAMIREZ SCHOOL BUS'. Other Ramirez-named Houston bus entities exist (Ramirez Bus Service at 1305 De Boll St, principal Antonio Ramirez — local charter; Autobuses Ramirez at 9231 Clay Rd — Mexico travel/parcel), but neither is at the Ripplebrook address or is a school-bus contractor.",,single,32,1772000,Residential address with no school-bus DOT registration or web presence. Likely a stale or mis-attributed record; not a Summit tuck-in candidate.,40,85,70,60,50,90,751
,800,BENCH,East Coast School Bus Inc,NJ,"West New York, NJ",63.0,0.6,1,3,1987,census(medium),286436,I,,unknown,independent,[],unknown,"[""school""]",[],Not found in NJ School Bus Contractors Association directory or NJ DOE 2020-21/2021-22 contractor lists; no standalone website discoverable.,,single,31,1462000,Listed address is a Port Imperial waterfront area in West New York (Hudson County); no corroborating school-bus contractor identity. Likely too small/unverifiable to pursue without direct sourcing.,40,85,70,60,50,90,789
,801,BENCH,Oregon Inter-City Bus Co,OR,"Bend, OR",63.0,0.6,1,1,1994,census(medium),554375,I,,unknown,unknown,[],unknown,"[""charter"", ""intercity""]",[],"No web/news footprint under this exact name. Listed address (20569 Pine Vista Dr, Bend) is residential; name conflicts with ODOT-run POINT Intercity Bus Service (which is contractor-operated, not the same entity). Bend area intercity is dominated by Pacific Crest Bus Lines and Cascades East Transit.",,single,32,1246000,"Likely a misclassified or shell record - the name 'Oregon Inter-City Bus Co' at a residential Bend address with no website, school-bus history, or DOT trace suggests this is NOT an active school-bus contractor. Even if operating, intercity/charter is off-thesis for Summit (yellow-bus K-12). De-prioritize.",40,85,70,60,50,90,840
,802,BENCH,Another Level Sch Trnsprtn Inc,FL,"Orlando, FL",63.0,0.6,1,1,2023,census(medium),4088546,A,,unknown,independent,"[""Yamil Ortiz (Vice President)""]",unknown,"[""school""]",Likely private/charter schools and daycares in Orange County / greater Orlando area,"No public M&A, news, or operational coverage located in web searches; no website or phone in source record.",,single,32,1343000,Micro Florida operator (Orlando metro). Too small to be a standalone tuck-in; only relevant if part of a roll-up of multiple Central FL micro-operators. Verify existence via Florida SunBiz before any outreach.,40,25,100,60,100,90,928
,803,BENCH,Dino School Transportation LLC,FL,"Cape Coral, FL",63.0,0.6,1,1,2025,census(high),4542247,A,,unknown,independent,[],unknown,"[""school""]",Likely private/parochial schools in Lee County (Cape Coral/Fort Myers area),"No public M&A, news, or operational coverage located; no website, no phone, no listed executive in source record.",,single,32,1343000,"Micro Lee County operator. Lee County has many similar single-bus contractors (e.g., Astrid, Annia, Lisdie Montano, MS Martin); aggregation play would be required. Standalone fit is low.",40,25,100,60,100,90,929
,804,BENCH,Private School Bus LLC,FL,"Orlando, FL",63.0,0.6,3,,2019,census(medium),3262637,A,,unknown,independent,"[""Martinez C Hernandez (Manager)""]",unknown,"[""school""]","[""Likely Orange County / Orlando-area private schools or charter routes""]",No M&A or news located; no website found; appears to be a small home-address LLC.,,single,31,1301000,"Generic name and residential address suggest a single-owner operator; potentially interesting for a Central FL Summit add-on if it holds private school contracts, but verification needed.",40,25,100,60,100,90,944
,805,BENCH,Gaming School Bus LLC,FL,"Tamarac, FL",63.0,0.6,1,2,2019,census(medium),3259325,A,,unknown,independent,[],unknown,"[""school""]","[""Broward County area (presumed)""]","No public news, website, or M-DCPS/Broward approved-vendor listing found; registered at residential address in Tamarac, FL.",,single,25,1137000,"Sub-scale micro-operator (~$1.1M rev, residential HQ) with no online presence; unverified as active school-bus contractor. Not a meaningful tuck-in target on its own; only relevant as part of a Florida route/asset roll-up.",40,25,100,60,100,90,953
,806,BENCH,H S Bus Express,TX,"Houston, TX",63.0,0.6,3,2,1993,census(medium),519376,I,,unknown,independent,Unknown (no lead exec listed in source data),unknown,"school (likely private/charter school routes, possibly some charter/group transport)","Unknown; located in a small office suite at 7333 W Sam Houston Pkwy S #10, Houston (Alief area, 77072)","No public news, website, FMCSA snapshot, or M&A activity located in 2026 searches",,single,32,1772000,Unverifiable small operator with no online footprint and no named principal; not a credible standalone Summit tuck-in target.,40,85,70,60,50,90,971
,807,BENCH,J JS Express Bus Co,FL,"Orlando, FL",63.0,0.6,2,2,2025,census(medium),4418602,A,,unknown,independent (Orlanzo Abrahante listed as Principal in source data),"Orlanzo Abrahante (Principal, per source record)",unknown,"[""school (per source tag)""]",[],"No public web footprint identified for J JS Express Bus Co at the listed Blackheath Cir, Orlando address or phone 407-240-1921; not found in OCPS contractor lists or Florida charter directories surfaced via search.",,single,20,839000,"Residential-address shell with no online presence; likely sole-proprietor / very small operator (possibly transportation broker or charter ops). Pre-LOI diligence would require direct outreach to Mr. Abrahante to confirm operator status, fleet, and OCPS/private-school contracts.",40,25,100,60,100,90,1006
,808,BENCH,Us Bus LLC,FL,"Davie, FL",63.0,0.6,1,3,2026,census(high),4554882,A,,unknown,unknown,[],unknown,"[""school"", ""charter""]",[],"Listed address (2705 Burris Rd, Davie FL) is a shared transportation/truck-stop complex (Florida 595 Truck Stop) also occupied by FloridaTours.com (charter), Davie Travel Center, and other logistics LLCs. No standalone web footprint as an active school-bus contractor under 'US Bus LLC'.",,single,18,819000,Likely a charter/shuttle operator sharing the Florida 595 transit complex rather than a true school-district contractor. Cannot confirm independent school-bus operations; not actionable without SunBiz/permit verification.,40,25,100,60,100,90,1010
,809,BENCH,California Sightseeing Tours,CA,"San Francisco, CA",63.0,0.6,4,8,2000,census(medium),862708,I,,unknown,independent,"[""Mary Liljhal (Manager)""]",unknown,"[""charter""]",[],"Listed on Yelp at 2270 Jerrold Ave, San Francisco (415-647-9012). Name and city positioning indicate tourist/sightseeing motor-coach charter, not school-bus operator.",,single,15,630000,"Appears to be a tour/charter motor-coach business serving San Francisco tourism, not a yellow-bus K-12 contractor. Poor fit for Summit tuck-in unless they hold sideline school/activity contracts; classification likely a false positive in source list.",40,85,70,60,50,90,1295
,810,BENCH,United School Bus Inc Mansoor,NJ,"Montville, NJ",63.0,0.6,3,3,1992,census(medium),494780,I,,unknown,independent,"[""Mansoor (per business name suffix)""]",unknown,"[""school""]","[""Likely Montville Township and adjacent Morris County districts""]","No public M&A or news found; appears to be a micro single-yard NJ contractor at 170 Changebridge Rd, Montville. Nearby contractors at the same Changebridge Rd cluster include O'Dowd Transportation and Sijz Transport.",,single,16,892000,"Sub-scale micro operator (~16 employees, <$1M revenue) in NJ — too small to be a meaningful standalone tuck-in for Summit; only relevant if rolled up with other Morris County micro-contractors at the Changebridge Rd cluster.",40,85,70,60,50,90,1383
,811,BENCH,Backroad Transportation LLC,MI,"Palms, MI",63.0,0.6,1,2,2020,agent,3495817,ACTIVE,Not Rated,independent,independent,[],unknown,"[""NEMT/disability transport"", ""possible freight""]",[],"Michigan LLC incorporated 10/07/2020 (active). USDOT 3495817 registered carrier based in Palms, MI (Huron County, rural Thumb region). One listing describes service as 'transportation for the disabled'; another DOT record (USDOT 2940420) suggests motor-carrier/freight activity. No evidence of school district contracts.",,single,10,513000,Micro-operator in rural MI Thumb; likely NEMT/disability transport rather than yellow-bus contractor. Not a credible Summit tuck-in target.,40,25,70,100,100,75,1444
,812,BENCH,A Plus School Transportation,FL,"Miramar, FL",63.0,0.6,1,2,2019,census(high),3304160,A,,unknown,independent,"[""Rosa Miller""]",unknown,"[""school""]","[""Likely M-DCPS / Broward private-school transport (Miramar/Pembroke Pines area)""]","USDOT 3304160 active. Distinct from larger 'A Plus Bus USA Corp' (Doral, 25+ yrs, MDCPS-approved). No M&A news.",,small(2-5),17,767000,"Possible micro tuck-in: independent small FL school bus operator in Broward/Miami-Dade catchment. ~17 employees, founded 2019 — too small for standalone deal but a plausible bolt-on to a larger FL platform acquisition.",40,25,100,60,100,90,1487
,813,BENCH,Infinity Limousine,CA,"Fairfield, CA",63.0,0.6,2,2,2019,census(medium),3295299,A,,independent,independent,"[""Steve McCann""]",unknown,"[""limousine/charter"", ""possible special-needs transport""]",[],"No M&A, ownership, or school contract news identified; PO Box-based small operator in Fairfield, CA.",,small(2-5),11,805000,Appears to be a small limousine/livery operator (PO Box address) rather than a K-12 school-bus contractor. No evidence of Solano County school district contracts. Weak tuck-in fit for Summit.,40,25,70,100,100,75,1552
,814,BENCH,Las Vegas Transportation Inc,NV,,63.0,0.6,2,3,2001,census(medium),989129,A,,unknown,unknown,[],unknown,"[""special-needs/NEMT (suspected)""]",[],"No public news, website, or coverage found tied to phone (702) 248-2831; entity has no detectable web presence as a student transportation operator.",,single,10,696000,Generic name with no online footprint; Clark County (CCSD) self-operates its school transport and Nevada limo/taxi/livery directories did not match this entity. Unverifiable as an independent school-bus operator; low priority unless ground-truthed.,40,85,30,60,100,75,1574
,815,BENCH,Black Tie Limousine Palm Be,FL,"West Palm Beach, FL",63.0,0.6,1,2,2014,census(medium),2550138,I,,family-owned,independent (likely),"[""Judiel Zapata (Principal)""]",unknown,"[""limousine"", ""party bus"", ""airport/special events""]",[],"Likely a small limo entity; a separately named 'Blacktie Chauffeur & Limousine' (4322 State Dr, WPB; est. 2008, family-owned) is the dominant Black Tie brand in Palm Beach County but uses a different phone/address. The 267 Forest Hill Blvd entity appears to be a small distinct DBA.",,single,4,272000,Micro limo operator focused on weddings/proms/airport - no evidence of school district contracts or yellow-bus operations. Not a Summit tuck-in target.,40,40,100,100,50,75,1850
,816,BENCH,Carlson Corporate Bus Ctr,TN,"Memphis, TN",63.0,0.6,2,,2001,census(medium),956759,I,,unknown,independent,Linda Bourgeois (President),unknown,"[""charter""]",Likely corporate/charter ground-transport rather than yellow school-bus; 492 Perkins Ext is an East Memphis commercial/office address. Not on SCS approved charter vendor list found.,"No web presence, no M&A, not listed on Shelby County Schools approved charter vendor list",,single,6,274000,"Name ('Corporate Bus Ctr') suggests corporate shuttle/charter rather than K-12 yellow school-bus contracting. Tiny (~6 employees, $274K revenue). Likely not a fit for Summit's school-bus tuck-in thesis; would require validation that any school routes exist.",40,85,70,60,50,90,1982
,817,BENCH,Around Clock Limo,CA,"Mountain View, CA",63.0,0.6,1,1,2022,census(medium),3920925,A,,independent,independent,"[""Mohammad Khabaza (Owner)""]",unknown,"[""livery/limo"", ""possible special-needs/student transport""]",Unknown; Mountain View Bay Area area,None found,,single,5,418000,Bay Area limo/livery micro-operator with no confirmed school district contract or SPAB cert visible; not a Summit tuck-in candidate.,40,25,70,100,100,75,2145
,818,BENCH,Diamond Transport Of VA LLC,VA,"Great Falls, VA",63.0,0.6,1,1,2021,census(high),3551280,A,,independent,independent,"[""Eugene McDuffie (CEO)""]",unknown,"[""non-emergency medical / paratransit (likely)""]",[],"No M&A or news found; address (731 Walker Rd #D2, Great Falls VA) is a small suite that may be a mail/registered-agent location. Possibly confused with the larger, unrelated 'Diamond Transportation Services Inc' in Springfield VA (a 130+ vehicle paratransit operator). Not the same legal entity.",,single,5,375000,"Not a school-bus operator and likely sub-scale (~5 employees, no confirmed school district contracts). Not a meaningful Summit tuck-in candidate; pass.",40,25,70,100,100,75,2178
